j,v1,v2,v3,time
0,0.0609796,0.0599725,1.96595,0.00201415
2,0.0569512,0.0569512,1.90698,0.00396727
4,0.0549874,0.0569512,1.85295,0.00579834
6,0.0559945,0.0549874,1.80295,0.00759887
8,0.0539803,0.0529732,1.75496,0.00942992
10,0.0519661,0.0519661,1.70496,0.011261
12,0.050959,0.0499519,1.65999,0.013092
14,0.0499519,0.0499519,1.61498,0.0149231
16,0.0479881,0.0479881,1.57298,0.0167541
18,0.0459739,0.046981,1.52998,0.0185852
20,0.0449668,0.0459739,1.48899,0.0204163
22,0.0429526,0.0439597,1.44896,0.0222168
24,0.0429526,0.0429526,1.412,0.0240478
26,0.0419959,0.0419959,1.37499,0.0258484
28,0.0409888,0.0419959,1.33697,0.0276489
30,0.0409888,0.0399817,1.30298,0.02948
32,0.0399817,0.0399817,1.26899,0.0312805
34,0.0389746,0.0379675,1.23495,0.0331116
36,0.0379675,0.0369604,1.20398,0.0349426
38,0.0359533,0.0359533,1.17095,0.0367431
40,0.0359533,0.0349965,1.14199,0.0385742
42,0.0339894,0.0329823,1.11299,0.0403747
44,0.0339894,0.0339894,1.08298,0.0422058
46,0.0319753,0.0339894,1.05498,0.0440063
48,0.0309682,0.0309682,1.01797,0.0458069
50,0.0309682,0.0309682,0.999995,0.0476379
52,0.0309682,0.0309682,0.973961,0.0494385
54,0.0319753,0.028954,0.949993,0.0512695
56,0.028954,0.0279972,0.924966,0.0530701
58,0.0279972,0.028954,0.901954,0.0549011
60,0.0269901,0.0269901,0.878992,0.0567017
62,0.025983,0.0269901,0.856987,0.0585022
64,0.025983,0.024976,0.832968,0.0603332
66,0.024976,0.025983,0.813984,0.0621643
68,0.0229618,0.024976,0.790972,0.0639648
70,0.0229618,0.0239689,0.771989,0.0657959
72,0.0229618,0.0239689,0.752954,0.0675964
74,0.0229618,0.0229618,0.733971,0.0694275
76,0.0219547,0.0219547,0.715994,0.071228
78,0.0229618,0.0219547,0.699981,0.0730591
80,0.0219547,0.0219547,0.679991,0.0748596
82,0.0199908,0.0209979,0.661963,0.0766601
84,0.0199908,0.0199908,0.644994,0.0784912
86,0.0209979,0.0199908,0.630995,0.0802917
88,0.0189837,0.0199908,0.613975,0.0821228
90,0.0199908,0.0179766,0.597963,0.0839233
92,0.0179766,0.0179766,0.583964,0.0857238
94,0.0179766,0.0169695,0.568958,0.0875549
96,0.0179766,0.0189837,0.556974,0.0893554
98,0.0169695,0.0189837,0.541968,0.0911865
100,0.0169695,0.0149554,0.528976,0.092987
102,0.0159625,0.0169695,0.515985,0.0948181
104,0.0159625,0.0179766,0.502994,0.0966186
106,0.0149554,0.0159625,0.490959,0.0984497
108,0.0159625,0.0139986,0.479981,0.10025
110,0.0149554,0.0149554,0.46699,0.102081
112,0.0139986,0.0149554,0.454955,0.103882
114,0.0149554,0.0149554,0.441964,0.10614
116,0.0129915,0.0119844,0.431993,0.107971
