j,vdac,v1,v2,time
0,0.0,0.10499,0.0679789,0.398865
5,0.0646555,0.147993,0.068986,0.801941
10,0.129361,0.20298,0.0989974,1.2052
15,0.194067,0.261996,0.136965,1.60782
20,0.258773,0.318997,0.176997,2.01031
25,0.323479,0.376956,0.21295,2.41284
30,0.388185,0.435971,0.251975,2.81537
35,0.45289,0.502994,0.29095,3.2179
40,0.517596,0.561959,0.336974,3.62042
45,0.582302,0.623996,0.37897,4.02295
50,0.647008,0.675962,0.415981,4.42548
55,0.711714,0.735985,0.452991,4.828
60,0.77642,0.793994,0.491966,5.23053
65,0.841126,0.841982,0.531998,5.63309
70,0.905832,0.903968,0.562966,6.07886
75,0.970537,0.961977,0.601991,6.48193
80,1.03524,1.02195,0.639958,6.88422
85,1.09995,1.07996,0.680998,7.28677
90,1.16465,1.13797,0.718965,7.68933
95,1.22936,1.19799,0.756983,8.09186
100,1.29407,1.26798,0.795957,8.49438
105,1.35877,1.32599,0.840975,8.89694
110,1.42348,1.38697,0.881963,9.2995
115,1.48818,1.44297,0.919981,9.70206
120,1.55289,1.50198,0.959963,10.1046
125,1.6176,1.55898,0.996974,10.5071
130,1.6823,1.65597,1.03998,10.9097
135,1.74706,1.724,1.10096,11.3122
140,1.81171,1.77198,1.14698,11.8026
145,1.87642,1.82798,1.17896,12.2047
150,1.94112,1.88498,1.21597,12.607
155,2.00588,1.95296,1.256,13.0095
160,2.07054,1.99999,1.29996,13.412
165,2.13524,2.065,1.33098,13.8145
170,2.19995,2.12396,1.37796,14.217
175,2.2647,2.19396,1.41598,14.6196
180,2.32936,2.23897,1.46195,15.0221
185,2.39407,2.29597,1.49196,15.4246
190,2.45877,2.356,1.53099,15.8271
195,2.52353,2.41798,1.568,16.2297
200,2.58818,2.46496,1.60697,16.6322
205,2.65289,2.52897,1.639,17.0348
210,2.7176,2.59,1.67596,17.4373
215,2.78235,2.67097,1.71599,17.8826
220,2.84701,2.725,1.76096,18.2847
225,2.91171,2.75496,1.79097,18.687
230,2.97642,2.75496,1.83598,19.0895
235,3.04117,2.75496,1.87395,19.4921
240,3.10583,2.75496,1.916,19.8946
245,3.17054,2.75496,1.944,20.2971
250,3.23524,2.75496,1.97295,20.6997
